,month,airport,mean_precip_monthly,mean_snow_monthly,mean_wind_monthly,mean_cloud_monthly
546,4,FLL,0.0,0,2.0,1
547,4,FLO,0.0,0,0.0,0
548,4,GPT,0.0,0,1.0,0
549,4,GRB,0.0,0,0.0,0
550,4,GSP,0.0,0,0.0,2
551,4,HNL,0.0,0,1.0,2
552,4,HOU,0.0,0,0.0,0
553,4,HVN,0.0,0,3.0,3
554,4,IAD,0.0,0,1.0,3
555,4,IAH,0.0,0,2.0,2
556,4,ICT,0.0,0,3.0,2
557,4,IND,0.0,0,3.0,3
558,4,JFK,1.0,1,3.0,3
559,4,KOA,0.0,0,2.0,3
560,4,LAN,0.0,0,0.0,0
561,4,LAS,0.0,0,2.0,1
562,4,LAX,0.0,0,1.0,1
563,4,LGA,0.0,0,3.0,2
564,4,LGB,0.0,0,0.0,0
565,4,LIH,0.0,0,1.0,0
566,4,MAF,0.0,0,0.0,0
567,4,MCI,0.0,0,0.0,3
568,4,MCO,0.0,0,1.0,1
569,4,MDW,0.0,0,3.0,3
570,4,MEM,0.0,0,0.0,2
571,4,MFR,0.0,0,1.0,3
572,4,MHT,0.0,0,0.0,3
573,4,MIA,0.0,0,1.0,1
574,4,MKE,1.0,2,2.0,3
575,4,MQT,0.0,0,2.0,2
576,4,MSN,1.0,1,3.0,3
577,4,MSP,0.0,0,0.0,2
578,4,MSY,0.0,0,1.0,2
579,4,MYR,0.0,0,0.0,0
580,4,OAK,0.0,0,3.0,2
581,4,OGG,1.0,0,1.0,3
582,4,ORD,1.0,1,2.0,2
583,4,ORF,1.0,0,3.0,1
584,4,ORH,0.0,0,0.0,1
585,4,PBI,1.0,0,3.0,3
586,4,PDX,0.0,0,0.0,1
587,4,PGD,0.0,0,3.0,1
588,4,PHL,1.0,0,3.0,3
589,4,PHX,0.0,0,0.0,2
590,4,PIT,0.0,0,1.0,3
591,4,PNS,0.0,0,0.0,0
592,4,PSM,0.0,0,0.0,3
593,4,PSP,0.0,0,3.0,0
594,4,PVD,1.0,2,0.0,3
595,4,RDM,0.0,0,2.0,1
596,4,RDU,1.0,0,1.0,2
597,4,RNO,0.0,0,2.0,3
598,4,RSW,0.0,0,0.0,1
599,4,SAN,0.0,0,0.0,2
600,4,SAT,0.0,0,0.0,2
