fl_date,origin,precip,snow,windgust,cloudcover
2018-02-13,ATL,0.3,0.0,35.3,98.7
2018-02-14,ATL,0.0,0.0,,99.6
2018-02-15,ATL,0.56,0.0,31.7,95.4
2018-02-16,ATL,0.5,0.0,48.0,86.8
2018-02-17,ATL,0.5,0.0,49.2,92.5
2018-02-18,ATL,0.82,0.0,25.9,80.1
2018-02-19,ATL,0.3,0.0,33.5,89.9
2018-02-20,ATL,0.0,0.0,,83.7
2018-02-21,ATL,1.3,0.0,,79.9
2018-02-22,ATL,0.0,0.0,,54.8
2018-02-23,ATL,0.0,0.0,,44.2
2018-02-24,ATL,0.0,0.0,46.4,77.4
2018-02-25,ATL,7.76,0.0,48.9,86.3
2018-02-26,ATL,13.09,0.0,37.1,81.6
2018-02-27,ATL,0.0,0.0,33.5,28.9
2018-02-28,ATL,7.52,0.0,,99.4
2018-03-01,ATL,4.55,0.0,53.3,93.0
2018-03-02,ATL,0.0,0.0,51.0,16.5
2018-03-03,ATL,0.0,0.0,42.5,1.1
2018-03-04,ATL,0.0,0.0,,21.1
2018-03-05,ATL,0.0,0.0,,82.2
2018-03-06,ATL,16.0,0.0,,81.6
2018-03-07,ATL,0.0,0.0,57.4,27.2
2018-03-08,ATL,0.0,0.0,48.7,33.3
2018-03-09,ATL,0.0,0.0,31.7,42.9
2018-03-10,ATL,0.0,0.0,,79.1
2018-03-11,ATL,24.74,0.0,,100.0
2018-03-12,ATL,3.36,0.0,72.1,71.5
2018-03-13,ATL,0.0,0.0,46.5,32.0
2018-03-14,ATL,0.0,0.0,47.6,2.3
2018-03-15,ATL,0.0,0.0,44.3,9.2
2018-03-16,ATL,0.0,0.0,38.9,61.5
2018-03-17,ATL,0.33,0.0,38.9,91.4
2018-03-18,ATL,0.0,0.0,29.5,80.5
2018-03-19,ATL,3.61,0.0,42.5,100.0
2018-03-20,ATL,24.55,0.0,53.6,79.1
2018-03-21,ATL,0.0,0.0,67.3,71.0
2018-03-22,ATL,0.0,0.0,51.7,3.4
2018-03-23,ATL,0.0,0.0,35.3,60.5
2018-03-24,ATL,0.0,0.0,40.7,94.1
2018-03-25,ATL,9.82,0.0,37.1,100.0
2018-03-26,ATL,0.0,0.0,41.6,100.0
2018-03-27,ATL,0.0,0.0,33.5,96.8
2018-03-28,ATL,0.0,0.0,42.5,79.7
2018-03-29,ATL,22.72,0.0,57.6,91.2
2018-03-30,ATL,0.93,0.0,42.4,87.3
2018-03-31,ATL,0.0,0.0,31.7,35.5
2018-04-01,ATL,0.0,0.0,27.7,59.5
2018-04-02,ATL,0.0,0.0,31.7,64.5
2018-04-03,ATL,0.0,0.0,38.9,64.5
2018-04-04,ATL,5.79,0.0,57.2,64.8
2018-04-05,ATL,0.0,0.0,37.4,40.6
2018-04-06,ATL,0.59,0.0,37.1,80.5
2018-04-07,ATL,1.3,0.0,44.6,99.1
2018-04-08,ATL,0.0,0.0,48.5,93.0
2018-04-09,ATL,2.63,0.0,,95.8
2018-04-10,ATL,0.0,0.0,29.5,63.5
2018-04-11,ATL,0.0,0.0,33.5,52.1
2018-04-12,ATL,0.0,0.0,40.7,59.2
2018-04-13,ATL,0.0,0.0,42.3,60.6
2018-04-14,ATL,0.0,0.0,40.7,84.2
2018-04-15,ATL,27.65,0.0,46.9,98.3
2018-04-16,ATL,0.0,0.0,52.0,64.3
2018-04-17,ATL,0.0,0.0,46.3,4.6
2018-04-18,ATL,0.0,0.0,54.4,28.4
2018-04-19,ATL,0.0,0.0,50.0,29.6
2018-04-20,ATL,0.0,0.0,42.3,23.6
2018-04-21,ATL,0.0,0.0,37.1,62.1
2018-04-22,ATL,7.93,0.0,60.1,98.9
2018-04-23,ATL,88.06,0.0,57.6,98.2
2018-04-24,ATL,36.57,0.0,40.7,88.8
2018-04-25,ATL,0.0,0.0,38.9,65.1
2018-04-26,ATL,7.09,0.0,33.5,72.2
2018-04-27,ATL,2.79,0.0,42.5,47.3
2018-04-28,ATL,0.0,0.0,38.8,18.4
2018-04-29,ATL,0.0,0.0,31.7,11.5
2018-04-30,ATL,0.0,0.0,,4.6
2018-05-01,ATL,0.0,0.0,,21.2
2018-05-02,ATL,0.0,0.0,,39.7
2018-05-03,ATL,0.0,0.0,,64.3
2018-05-04,ATL,0.0,0.0,,59.6
2018-05-05,ATL,0.0,0.0,,83.3
2018-05-06,ATL,0.0,0.0,57.3,45.9
2018-05-07,ATL,0.0,0.0,37.1,35.9
2018-05-08,ATL,0.63,0.0,47.9,49.1
2018-05-09,ATL,0.0,0.0,,43.1
2018-05-10,ATL,1.81,0.0,54.5,51.8
2018-05-11,ATL,0.0,0.0,27.7,29.6
2018-05-12,ATL,0.0,0.0,,28.0
2018-05-13,ATL,0.0,0.0,29.5,25.0
2018-05-14,ATL,0.0,0.0,27.7,74.9
2018-05-15,ATL,5.36,0.0,27.7,92.9
2018-05-16,ATL,29.41,0.0,,95.5
2018-05-17,ATL,3.27,0.0,35.3,90.4
2018-05-18,ATL,0.03,0.0,31.7,74.2
2018-05-19,ATL,0.0,0.0,27.7,82.1
2018-05-20,ATL,28.13,0.0,76.0,85.3
2018-05-21,ATL,4.58,0.0,46.4,85.1
2018-05-22,ATL,4.69,0.0,35.3,87.5
2018-05-23,ATL,15.37,0.0,29.5,93.5
2018-05-24,ATL,2.01,0.0,51.7,88.8
2018-05-25,ATL,0.0,0.0,,91.4
2018-05-26,ATL,0.3,0.0,,86.8
2018-05-27,ATL,0.0,0.0,,84.8
2018-05-28,ATL,13.85,0.0,35.3,93.1
2018-05-29,ATL,15.03,0.0,79.6,91.9
2018-05-30,ATL,1.37,0.0,35.3,81.1
2018-05-31,ATL,0.0,0.0,,69.5
2018-06-01,ATL,13.66,0.0,72.0,73.6
2018-06-02,ATL,0.8,0.0,38.9,70.4
2018-06-03,ATL,0.3,0.0,31.7,55.4
2018-06-04,ATL,0.0,0.0,42.4,31.7
2018-06-05,ATL,0.0,0.0,,80.2
2018-06-06,ATL,0.0,0.0,31.7,45.0
2018-06-07,ATL,0.0,0.0,,35.2
2018-06-08,ATL,0.31,0.0,57.2,76.0
2018-06-09,ATL,0.01,0.0,,58.2
2018-06-10,ATL,0.06,0.0,33.5,77.4
2018-06-11,ATL,1.21,0.0,29.5,76.6
2018-06-12,ATL,0.0,0.0,,64.6
2018-06-13,ATL,28.48,0.0,29.5,86.5
2018-06-14,ATL,0.31,0.0,,76.3
2018-06-15,ATL,9.66,0.0,,61.7
2018-06-16,ATL,0.0,0.0,27.7,68.7
2018-06-17,ATL,0.05,0.0,,84.6
2018-06-18,ATL,0.0,0.0,,48.8
2018-06-19,ATL,0.0,0.0,29.5,32.5
2018-06-20,ATL,0.0,0.0,37.1,48.8
2018-06-21,ATL,0.42,0.0,37.1,87.3
2018-06-22,ATL,7.17,0.0,66.6,64.7
2018-06-23,ATL,4.62,0.0,33.5,77.8
2018-06-24,ATL,0.06,0.0,29.5,48.4
2018-06-25,ATL,18.14,0.0,72.4,55.7
2018-06-26,ATL,0.02,0.0,,56.7
2018-06-27,ATL,3.48,0.0,59.2,70.9
2018-06-28,ATL,5.31,0.0,79.4,88.4
2018-06-29,ATL,0.07,0.0,,85.9
2018-06-30,ATL,0.0,0.0,38.9,51.9
2018-07-01,ATL,1.61,0.0,29.5,76.5
2018-07-02,ATL,0.31,0.0,28.2,78.9
2018-07-03,ATL,0.0,0.0,31.7,67.8
2018-07-04,ATL,4.43,0.0,49.3,67.2
2018-07-05,ATL,0.03,0.0,,67.4
2018-07-06,ATL,2.96,0.0,60.3,73.0
2018-07-07,ATL,0.12,0.0,42.5,76.2
2018-07-08,ATL,0.0,0.0,35.3,65.5
2018-07-09,ATL,0.0,0.0,31.7,34.0
2018-07-10,ATL,0.0,0.0,27.7,27.6
2018-07-11,ATL,0.0,0.0,,50.7
2018-07-12,ATL,0.0,0.0,,81.8
2018-07-13,ATL,25.77,0.0,42.5,85.7
2018-07-14,ATL,75.87,0.0,33.5,92.3
2018-07-15,ATL,0.44,0.0,,86.9
2018-07-16,ATL,9.6,0.0,49.2,87.8
2018-07-17,ATL,0.79,0.0,,88.6
2018-07-18,ATL,0.0,0.0,,77.8
2018-07-19,ATL,1.1,0.0,37.1,74.2
2018-07-20,ATL,0.0,0.0,,84.6
2018-07-21,ATL,29.76,0.0,64.8,68.3
2018-07-22,ATL,3.79,0.0,29.5,45.8
2018-07-23,ATL,15.3,0.0,,67.6
2018-07-24,ATL,5.51,0.0,,80.9
2018-07-25,ATL,0.0,0.0,,38.5
2018-07-26,ATL,0.0,0.0,,39.5
2018-07-27,ATL,0.0,0.0,,59.9
2018-07-28,ATL,0.0,0.0,35.3,67.1
2018-07-29,ATL,0.0,0.0,,66.3
2018-07-30,ATL,0.02,0.0,,91.5
2018-07-31,ATL,27.44,0.0,55.4,90.7
2018-08-01,ATL,25.45,0.0,,96.7
2018-08-02,ATL,87.78,0.0,42.5,97.7
2018-08-03,ATL,2.56,0.0,31.7,82.4
2018-08-04,ATL,0.0,0.0,35.3,67.0
2018-08-05,ATL,0.3,0.0,,50.6
2018-08-06,ATL,0.0,0.0,,50.5
2018-08-07,ATL,0.11,0.0,56.5,74.8
2018-08-08,ATL,10.33,0.0,79.6,73.8
2018-08-09,ATL,28.32,0.0,62.2,75.6
2018-08-10,ATL,0.0,0.0,,87.5
2018-08-11,ATL,0.0,0.0,33.5,77.4
2018-08-12,ATL,0.0,0.0,25.9,64.6
2018-08-13,ATL,0.0,0.0,,47.3
2018-08-14,ATL,0.0,0.0,,35.4
2018-08-15,ATL,0.0,0.0,,54.4
2018-08-16,ATL,0.0,0.0,,66.2
2018-08-17,ATL,1.49,0.0,,83.5
2018-08-18,ATL,25.52,0.0,31.7,91.1
2018-08-19,ATL,0.06,0.0,,83.9
2018-08-20,ATL,0.09,0.0,,88.4
2018-08-21,ATL,0.33,0.0,,87.9
2018-08-22,ATL,0.02,0.0,29.5,63.9
2018-08-23,ATL,0.0,0.0,,44.8
2018-08-24,ATL,0.0,0.0,29.5,64.9
2018-08-25,ATL,0.0,0.0,,40.6
2018-08-26,ATL,0.0,0.0,,25.1
2018-08-27,ATL,0.0,0.0,27.7,30.8
2018-08-28,ATL,0.0,0.0,,43.1
2018-08-29,ATL,0.0,0.0,38.9,53.4
2018-08-30,ATL,0.0,0.0,33.5,60.7
2018-08-31,ATL,0.0,0.0,,79.4
2018-09-01,ATL,0.0,0.0,27.7,52.3
2018-09-02,ATL,0.0,0.0,27.7,58.2
2018-09-03,ATL,0.0,0.0,31.7,58.6
2018-09-04,ATL,0.0,0.0,29.5,82.5
2018-09-05,ATL,0.0,0.0,,92.4
2018-09-06,ATL,0.0,0.0,,89.9
2018-09-07,ATL,0.0,0.0,,50.9
2018-09-08,ATL,0.0,0.0,,66.8
2018-09-09,ATL,18.82,0.0,34.3,59.4
2018-09-10,ATL,0.8,0.0,,78.4
2018-09-11,ATL,4.79,0.0,31.7,76.3
2018-09-12,ATL,2.04,0.0,,74.6
2018-09-13,ATL,1.29,0.0,,84.9
2018-09-14,ATL,0.0,0.0,31.7,67.5
2018-09-15,ATL,0.01,0.0,44.7,54.0
2018-09-16,ATL,0.01,0.0,42.5,87.7
2018-09-17,ATL,0.0,0.0,29.5,20.8
2018-09-18,ATL,0.0,0.0,27.7,24.2
2018-09-19,ATL,0.0,0.0,,21.6
2018-09-20,ATL,0.0,0.0,,26.0
2018-09-21,ATL,0.0,0.0,,27.9
2018-09-22,ATL,0.0,0.0,,44.3
2018-09-23,ATL,0.0,0.0,,58.9
2018-09-24,ATL,0.0,0.0,35.3,86.1
2018-09-25,ATL,0.02,0.0,33.5,90.3
2018-09-26,ATL,5.89,0.0,57.2,82.1
2018-09-27,ATL,2.1,0.0,50.0,93.0
2018-09-28,ATL,0.06,0.0,,91.6
2018-09-29,ATL,0.0,0.0,,79.2
2018-09-30,ATL,0.0,0.0,,81.0
2018-10-01,ATL,0.0,0.0,25.9,71.7
2018-10-02,ATL,0.0,0.0,,42.3
2018-10-03,ATL,0.0,0.0,,42.8
2018-10-04,ATL,0.0,0.0,,16.6
2018-10-05,ATL,0.0,0.0,,21.9
2018-10-06,ATL,0.0,0.0,,28.7
2018-10-07,ATL,0.0,0.0,29.5,62.6
2018-10-08,ATL,0.0,0.0,40.7,86.9
2018-10-09,ATL,2.5,0.0,40.7,96.5
2018-10-10,ATL,66.5,0.0,64.7,96.5
2018-10-11,ATL,29.54,0.0,58.3,62.5
2018-10-12,ATL,0.0,0.0,44.6,32.4
2018-10-13,ATL,0.0,0.0,35.3,44.7
2018-10-14,ATL,0.0,0.0,,71.3
2018-10-15,ATL,0.0,0.0,,58.5
2018-10-16,ATL,0.0,0.0,,87.7
2018-10-17,ATL,0.0,0.0,,88.3
2018-10-18,ATL,0.0,0.0,29.5,75.3
2018-10-19,ATL,0.0,0.0,,82.3
2018-10-20,ATL,4.59,0.0,44.6,87.2
2018-10-21,ATL,0.0,0.0,50.0,11.7
2018-10-22,ATL,0.0,0.0,27.7,59.0
2018-10-23,ATL,0.0,0.0,,86.8
2018-10-24,ATL,0.0,0.0,31.7,57.0
2018-10-25,ATL,3.41,0.0,40.7,96.8
2018-10-26,ATL,14.36,0.0,35.3,100.0
2018-10-27,ATL,0.0,0.0,33.5,90.9
2018-10-28,ATL,0.0,0.0,35.3,21.7
2018-10-29,ATL,0.0,0.0,37.1,13.8
2018-10-30,ATL,0.0,0.0,,46.6
2018-10-31,ATL,0.0,0.0,,83.5
2018-11-01,ATL,12.04,0.0,40.6,96.7
2018-11-02,ATL,1.0,0.0,46.4,89.8
2018-11-03,ATL,0.0,0.0,,20.9
2018-11-04,ATL,2.79,0.0,,100.0
2018-11-05,ATL,3.09,0.0,,100.0
2018-11-06,ATL,8.42,0.0,42.5,84.8
2018-11-07,ATL,21.64,0.0,33.5,63.4
2018-11-08,ATL,3.63,0.0,,100.0
2018-11-09,ATL,18.52,0.0,58.8,99.5
2018-11-10,ATL,0.0,0.0,47.9,33.5
2018-11-11,ATL,0.0,0.0,,65.0
2018-11-12,ATL,58.68,0.0,33.5,100.0
2018-11-13,ATL,6.35,0.0,35.3,100.0
2018-11-14,ATL,20.74,0.0,38.9,96.5
2018-11-15,ATL,18.19,0.0,51.2,96.4
2018-11-16,ATL,0.0,0.0,45.1,62.2
2018-11-17,ATL,0.0,0.0,,47.3
2018-11-18,ATL,0.0,0.0,,38.1
2018-11-19,ATL,0.0,0.0,,76.3
2018-11-20,ATL,0.8,0.0,37.1,51.6
2018-11-21,ATL,0.0,0.0,27.7,20.9
2018-11-22,ATL,0.0,0.0,,63.1
2018-11-23,ATL,0.0,0.0,42.4,76.7
2018-11-24,ATL,9.71,0.0,37.1,100.0
2018-11-25,ATL,4.08,0.0,,79.7
2018-11-26,ATL,0.0,0.0,51.8,78.2
2018-11-27,ATL,0.0,0.0,55.4,23.8
2018-11-28,ATL,0.0,0.0,37.1,23.9
2018-11-29,ATL,0.0,0.0,,72.2
2018-11-30,ATL,0.56,0.0,33.5,89.4
2018-12-01,ATL,35.04,0.0,31.7,96.3
2018-12-02,ATL,0.9,0.0,,59.7
2018-12-03,ATL,0.0,0.0,47.9,68.5
2018-12-04,ATL,0.0,0.0,53.6,41.6
2018-12-05,ATL,0.0,0.0,37.1,15.0
2018-12-06,ATL,0.0,0.0,,64.4
2018-12-07,ATL,0.59,0.0,,97.6
2018-12-08,ATL,39.32,0.0,63.1,100.0
2018-12-09,ATL,26.25,0.0,59.1,100.0
2018-12-10,ATL,2.78,0.0,,99.8
2018-12-11,ATL,0.0,0.0,,32.8
2018-12-12,ATL,0.0,0.0,,72.9
2018-12-13,ATL,0.0,0.0,,93.2
2018-12-14,ATL,27.27,0.0,33.5,100.0
2018-12-15,ATL,1.1,0.0,31.7,90.8
2018-12-16,ATL,0.0,0.0,40.7,93.2
2018-12-17,ATL,0.0,0.0,37.1,49.9
2018-12-18,ATL,0.0,0.0,31.7,58.5
2018-12-19,ATL,0.0,0.0,29.5,94.3
2018-12-20,ATL,26.21,0.0,,100.0
2018-12-21,ATL,11.48,0.0,56.8,100.0
2018-12-22,ATL,0.0,0.0,33.5,51.7
2018-12-23,ATL,0.3,0.0,42.3,45.8
2018-12-24,ATL,0.0,0.0,29.5,36.7
2018-12-25,ATL,0.0,0.0,,45.1
2018-12-26,ATL,0.0,0.0,,71.0
2018-12-27,ATL,18.87,0.0,43.9,98.6
2018-12-28,ATL,80.49,0.0,35.3,97.1
2018-12-29,ATL,0.0,0.0,,78.8
2018-12-30,ATL,9.58,0.0,,97.7
2018-12-31,ATL,3.22,0.0,46.3,70.4
2019-01-01,ATL,3.63,0.0,,71.7
2019-01-02,ATL,11.5,0.0,,77.0
2019-01-03,ATL,5.89,0.0,,88.5
2019-01-04,ATL,36.95,0.0,54.6,79.6
2019-01-05,ATL,0.0,0.0,53.6,36.4
2019-01-06,ATL,0.0,0.0,,19.5
2019-01-07,ATL,0.0,0.0,,56.0
2019-01-08,ATL,0.0,0.0,29.3,72.2
2019-01-09,ATL,0.0,0.0,55.3,8.7
2019-01-10,ATL,0.0,0.0,51.4,40.0
2019-01-11,ATL,0.0,0.0,,33.6
2019-01-12,ATL,7.27,0.0,37.1,88.9
